,Date,BE,DE,FR,NP
0,2013-01-01 00:00:00,32.97,14.03,23.21,31.05
1,2013-01-01 01:00:00,32.96,11.06,21.36,30.47
2,2013-01-01 02:00:00,32.6,8.5,17.957,28.92
3,2013-01-01 03:00:00,13.54,0.1,13.542,27.88
4,2013-01-01 04:00:00,10.2,2.01,10.2,26.96
5,2013-01-01 05:00:00,10.19,4.82,10.192,27.84
6,2013-01-01 06:00:00,10.15,-0.07,10.151,28.79
7,2013-01-01 07:00:00,10.04,3.95,10.042,28.63
8,2013-01-01 08:00:00,11.94,11.94,11.944,28.44
9,2013-01-01 09:00:00,12.15,12.15,12.153,28.3
10,2013-01-01 10:00:00,12.24,12.24,12.245,30.65
11,2013-01-01 11:00:00,14.25,14.25,14.246,31.55
12,2013-01-01 12:00:00,21.21,21.21,21.208,32.16
13,2013-01-01 13:00:00,17.41,17.41,17.406,32.45
14,2013-01-01 14:00:00,14.06,14.06,14.062,32.63
15,2013-01-01 15:00:00,14.67,14.67,14.674,33.65
16,2013-01-01 16:00:00,16.7,27.88,16.703,34.9
17,2013-01-01 17:00:00,32.05,36.24,32.048,36.22
18,2013-01-01 18:00:00,44.94,37.12,37.115,36.65
19,2013-01-01 19:00:00,37.06,37.06,37.058,36.37
20,2013-01-01 20:00:00,43.35,36.3,36.298,35.49
21,2013-01-01 21:00:00,37.0,33.59,33.586,34.41
22,2013-01-01 22:00:00,39.96,34.65,34.654,34.66
23,2013-01-01 23:00:00,33.0,25.04,25.036,32.55
24,2013-01-02 00:00:00,41.48,8.11,41.476,34.63
25,2013-01-02 01:00:00,38.69,7.34,38.691,34.33
26,2013-01-02 02:00:00,35.39,8.14,31.89,34.04
27,2013-01-02 03:00:00,34.77,8.53,24.497,34.38
28,2013-01-02 04:00:00,34.94,8.58,19.92,34.75
29,2013-01-02 05:00:00,35.87,10.06,29.025,35.8
30,2013-01-02 06:00:00,39.21,34.22,39.209,36.85
31,2013-01-02 07:00:00,56.7,37.9,56.7,38.47
32,2013-01-02 08:00:00,57.16,41.49,55.696,40.92
33,2013-01-02 09:00:00,62.25,41.96,57.471,41.96
34,2013-01-02 10:00:00,60.55,43.28,54.789,42.24
35,2013-01-02 11:00:00,70.11,42.95,53.388,41.22
36,2013-01-02 12:00:00,61.12,40.95,54.279,39.97
37,2013-01-02 13:00:00,58.85,41.98,44.99,39.73
38,2013-01-02 14:00:00,54.33,43.91,43.913,39.22
39,2013-01-02 15:00:00,50.0,43.25,43.249,39.34
40,2013-01-02 16:00:00,47.54,41.26,41.265,40.24
41,2013-01-02 17:00:00,59.99,49.96,49.96,44.27
42,2013-01-02 18:00:00,77.6,59.83,59.828,41.97
43,2013-01-02 19:00:00,73.57,56.85,56.848,39.84
44,2013-01-02 20:00:00,59.38,49.96,49.964,38.73
45,2013-01-02 21:00:00,55.0,39.42,39.423,38.01
46,2013-01-02 22:00:00,54.94,43.02,43.017,37.8
47,2013-01-02 23:00:00,54.37,36.51,42.597,36.51
48,2013-01-03 00:00:00,60.0,37.31,60.0,37.58
49,2013-01-03 01:00:00,59.1,33.78,59.1,36.94
50,2013-01-03 02:00:00,53.01,33.03,53.01,36.47
51,2013-01-03 03:00:00,50.6,33.7,50.6,36.78
52,2013-01-03 04:00:00,44.19,37.69,44.19,37.55
53,2013-01-03 05:00:00,41.23,38.77,41.23,38.79
54,2013-01-03 06:00:00,59.06,44.31,59.06,40.98
55,2013-01-03 07:00:00,70.28,61.94,70.28,41.82
56,2013-01-03 08:00:00,85.3,61.64,85.3,43.16
57,2013-01-03 09:00:00,71.69,65.61,71.69,42.94
58,2013-01-03 10:00:00,68.94,57.97,68.94,42.56
59,2013-01-03 11:00:00,68.74,54.91,68.74,42.16
60,2013-01-03 12:00:00,61.12,57.91,61.12,41.64
61,2013-01-03 13:00:00,57.58,49.95,57.58,41.18
62,2013-01-03 14:00:00,60.18,44.96,60.18,40.38
63,2013-01-03 15:00:00,48.39,48.39,48.39,40.25
64,2013-01-03 16:00:00,50.86,49.98,50.86,40.65
65,2013-01-03 17:00:00,57.93,57.93,57.93,42.1
