age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
66.0,6,174788.0,7,12.0,6,12,1,4,0,0.0,0.0,40.0,39,1
19.0,0,194404.0,11,9.0,4,0,3,4,1,0.0,0.0,40.0,39,1
19.0,4,176806.0,6,5.0,4,12,4,4,1,0.0,0.0,30.0,39,1
30.0,4,195602.0,15,10.0,4,7,3,4,1,0.0,0.0,60.0,39,1
54.0,4,56741.0,11,9.0,0,6,1,4,1,0.0,0.0,40.0,39,1
26.0,4,125089.0,9,13.0,4,12,1,4,0,0.0,0.0,48.0,39,1
28.0,5,115705.0,15,10.0,4,4,1,4,1,0.0,0.0,30.0,39,1
32.0,4,207937.0,11,9.0,4,7,4,2,0,0.0,0.0,50.0,39,1
48.0,2,225594.0,12,14.0,0,10,4,4,0,4934.0,0.0,45.0,39,1
51.0,4,161691.0,11,9.0,0,6,4,4,0,0.0,0.0,40.0,39,0
37.0,4,98776.0,3,2.0,3,1,1,1,1,0.0,0.0,40.0,30,1
23.0,4,442274.0,11,9.0,5,8,4,4,0,0.0,0.0,42.0,39,1
23.0,4,162228.0,7,12.0,4,10,1,4,0,0.0,0.0,36.0,39,1
26.0,4,184872.0,9,13.0,4,4,3,4,0,0.0,0.0,40.0,39,1
50.0,4,154728.0,15,10.0,2,3,0,4,1,0.0,0.0,40.0,39,0
25.0,0,239120.0,9,13.0,4,0,1,4,1,0.0,0.0,18.0,39,1
37.0,4,220696.0,1,7.0,2,3,0,2,1,2635.0,0.0,40.0,39,1
36.0,5,196554.0,11,9.0,4,4,1,4,1,0.0,2258.0,55.0,39,1
43.0,6,71269.0,11,9.0,4,8,1,4,0,0.0,0.0,40.0,39,1
66.0,5,249043.0,9,13.0,2,12,0,4,1,0.0,0.0,40.0,39,0
37.0,4,103323.0,9,13.0,2,10,0,4,1,0.0,0.0,40.0,39,0
29.0,4,199411.0,8,11.0,2,3,0,4,1,0.0,0.0,45.0,39,1
39.0,1,30916.0,15,10.0,2,1,0,4,1,0.0,0.0,48.0,39,1
25.0,4,404951.0,15,10.0,2,12,0,4,1,0.0,0.0,40.0,39,0
